,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Row45,37024.0,226.59,3.9608,0.0090625,0.9909,1.0413,36710.0,38447.0,251.48,904.55,0.35762,3170800000.0,11807000.0,23.938000000000002,0.09487999999999999,36641.0,380.17,146440.0,904.55,-0.019554,0.049102,0.9181600000000001,0.9867299999999999,3.0
Row46,33589.0,630.68,9.3044,0.027108999999999998,0.9604600000000001,2.0197,31601.0,97963.0,1032.0,358.79,0.85236,2492400000.0,10312000.0,13.13,0.23455,36902.0,378.74,147940.0,358.79,-0.039864,0.13885999999999998,0.95345,0.99471,3.0
Row47,37043.0,925.4,10.363,0.03835,0.9776600000000001,1.095,36180.0,40749.0,785.63,316.4,0.83249,2656300000.0,10840000.0,13.665,0.15334,37439.0,381.69,149150.0,316.4,-0.032414,0.027387,0.95094,0.99526,3.0
Row48,30039.0,854.32,10.152999999999999,0.035068,0.98125,1.08,29505.0,32306.0,821.02,246.96,0.8695,1664300000.0,7700900.0,12.332,0.15579,30135.0,341.39,120080.0,246.96,-0.035503,0.02841,0.95525,0.9962799999999999,3.0
Row49,42607.0,334.9,5.9288,0.013896,0.9771200000000001,1.0978,41662.0,46667.0,371.2,201.94,0.7878,4024500000.0,14310000.0,11.284,0.16469,42773.0,410.31,170040.0,201.94,-0.038855,0.042686,0.95875,0.99695,3.0
Row50,46118.0,303.44,5.3834,0.01248,0.9805,1.0815,45167.0,50108.0,405.2,205.98,0.79966,4895200000.0,16564000.0,11.450999999999999,0.15987,46803.0,428.89,185780.0,205.98,-0.038560000000000004,0.044933999999999995,0.95816,0.9968899999999999,3.0
Row51,51980.0,291.61,7.5838,0.012217,0.97336,1.1102,50595.0,57731.0,121.33,118.29,0.6723399999999999,7171100000.0,21360000.0,8.6491,0.19079000000000002,52377.0,456.82,209300.0,118.29,-0.050055,0.046492,0.9679,0.99821,3.0
Row52,31576.0,412.76,9.5186,0.016943,0.98125,1.0802,30975.0,34154.0,92.536,297.02,0.38392,2520900000.0,9780000.0,13.675999999999998,0.14545,31533.0,353.63,125730.0,297.02,-0.03193,0.034746,0.9506700000000001,0.9955299999999999,3.0
Row53,30663.0,399.76,8.6407,0.016465,0.9797299999999999,1.0838,30064.0,33133.0,111.78,289.2,0.43604,2310600000.0,9183100.0,13.504000000000001,0.1465,30487.0,347.48,121490.0,289.2,-0.032649,0.036662,0.95124,0.99565,3.0
Row54,33153.0,362.32,9.2098,0.015165999999999999,0.97367,1.1082,32305.0,36643.0,91.89,213.05,0.46331999999999995,2814900000.0,10537000.0,11.495,0.16752999999999998,32953.0,361.98,131620.0,213.05,-0.037658,0.037843,0.9580700000000001,0.9967799999999999,3.0
Row55,43984.0,524.92,7.0233,0.02166,0.97925,1.085,43060.0,47786.0,647.36,359.8,0.78256,3869000000.0,14171000.0,15.02,0.13828,43602.0,413.43,173880.0,359.8,-0.029212000000000002,0.034433,0.94624,0.9946,3.0
Row56,42536.0,590.3,8.0474,0.024072,0.9837600000000001,1.0686,41852.0,45394.0,519.97,331.28,0.75848,3720700000.0,13593000.0,14.408,0.13757,41989.0,406.78,167880.0,331.28,-0.030769,0.032185000000000005,0.94826,0.99503,3.0
Row57,38170.0,448.92,5.2787,0.018486000000000002,0.98009,1.082,37346.0,41620.0,872.23,311.19,0.84926,2623600000.0,10804000.0,13.777000000000001,0.14924,37369.0,382.32,149970.0,311.19,-0.032054,0.037236,0.95045,0.9953200000000001,3.0
Row58,28454.0,394.25,8.8003,0.015938,0.9871200000000001,1.0515,28098.0,29878.0,92.446,303.04,0.37937,2038600000.0,8357200.0,13.935,0.1348,28569.0,335.85,113480.0,303.04,-0.032187,0.035994,0.9497399999999999,0.99544,3.0
Row59,26916.0,594.15,10.057,0.024053,0.9865299999999999,1.0557,26575.0,28331.0,296.82,362.65,0.6208100000000001,1588100000.0,7136700.0,15.137,0.13008,26751.0,323.94,106490.0,362.65,-0.029230000000000003,0.030693,0.9458200000000001,0.99456,3.0
Row60,29695.0,574.72,12.186,0.02376,0.9786,1.0893,29067.0,32311.0,110.64,309.48,0.41700000000000004,2171000000.0,8760900.0,13.793,0.15088,29496.0,342.2,117860.0,309.48,-0.032054,0.030754000000000004,0.95037,0.99535,3.0
Row61,35174.0,160.98,2.9082,0.006699200000000001,0.97567,1.0973,34369.0,38392.0,553.38,275.69,0.8053899999999999,2496400000.0,10223000.0,12.624,0.16243,35865.0,372.27,141070.0,275.69,-0.036044,0.060369000000000006,0.9544600000000001,0.99587,3.0
Row62,33811.0,126.44,2.5668,0.0051855,0.98154,1.0738,33188.0,36302.0,638.91,329.96,0.80699,2264700000.0,9614900.0,14.062999999999999,0.14662,35014.0,365.22,136250.0,329.96,-0.033648000000000004,0.066879,0.94958,0.99505,3.0
Row63,35951.0,1117.6,11.662,0.046543,0.97555,1.1063,35108.0,39591.0,1236.2,237.4,0.9125700000000001,2199500000.0,9714400.0,12.034,0.16338,35723.0,370.07,142140.0,237.4,-0.036042000000000005,0.026655,0.95629,0.9964200000000001,3.0
Row64,29086.0,1656.5,17.451,0.068574,0.97806,1.0916,28451.0,31722.0,1025.6,220.57,0.9029299999999999,1416300000.0,6993900.0,11.557,0.16247999999999999,28948.0,333.32,115430.0,220.57,-0.038021,0.024155000000000003,0.9579200000000001,0.9966700000000001,3.0
Row65,33802.0,1452.7,14.478,0.059785000000000005,0.98019,1.0836,33108.0,36753.0,991.0,274.2,0.87866,2083800000.0,9207400.0,12.960999999999999,0.15,34047.0,362.73,135810.0,274.2,-0.033942,0.023540000000000002,0.95315,0.99587,3.0
Row66,34234.0,1362.7,20.357,0.055635000000000004,0.9832799999999999,1.0712,33661.0,36733.0,311.98,552.53,0.53045,2689400000.0,10490000.0,18.023,0.12568,34143.0,366.76,136320.0,552.53,-0.024881999999999998,0.020873,0.93689,0.99182,3.0
Row67,34760.0,1832.7,24.357,0.073818,0.98845,1.0468,34372.0,36336.0,236.14,721.99,0.39546,2811200000.0,10800000.0,20.724,0.10999,34822.0,370.11,138660.0,721.99,-0.021835,0.017657,0.92842,0.98939,3.0
Row68,26972.0,1034.2,12.404000000000002,0.041963,0.9856,1.0587,26572.0,28600.0,503.78,558.15,0.6439,1423500000.0,6717600.0,18.331,0.12005,26997.0,322.85,106810.0,558.15,-0.024472,0.024479,0.93578,0.9917299999999999,3.0
Row69,26842.0,657.88,9.0736,0.027051,0.98062,1.0823,26335.0,29013.0,565.42,252.45,0.8177,1337600000.0,6473000.0,12.427999999999999,0.1527,26454.0,321.6,105940.0,252.45,-0.035694,0.031902,0.95494,0.9962,3.0
Row70,27037.0,875.0,11.902000000000001,0.036025,0.9800399999999999,1.0871,26488.0,29427.0,429.11,269.86,0.76159,1447800000.0,6792100.0,12.806,0.15522,27051.0,324.42,107240.0,269.86,-0.034213,0.027666000000000003,0.9537,0.9959399999999999,3.0
Row71,31706.0,784.61,14.879000000000001,0.032266,0.98055,1.0819,31085.0,34321.0,188.58,265.26,0.5871,2363400000.0,9452300.0,12.788,0.15106,31574.0,353.62,126080.0,265.26,-0.034455,0.027881,0.9537100000000001,0.9960100000000001,3.0
Row72,22536.0,845.76,15.28,0.0346,0.9824700000000001,1.0739,22140.0,24207.0,188.72,344.94,0.52262,1132900000.0,5492500.0,14.627,0.13938,22478.0,297.06,89351.0,344.94,-0.030059,0.026795,0.94757,0.99482,3.0
Row73,22237.0,1089.8,17.262,0.044404,0.9841200000000001,1.0645,21878.0,23695.0,300.88,330.63,0.64548,1025800000.0,5203100.0,14.369000000000002,0.1382,22072.0,294.33,88171.0,330.63,-0.030779,0.024475999999999998,0.9484,0.9950399999999999,3.0
Row74,22314.0,566.37,11.707,0.023486,0.97736,1.0972,21818.0,24472.0,135.34,324.13,0.45508000000000004,1151000000.0,5526600.0,14.057,0.14669000000000001,22174.0,295.77,88349.0,324.13,-0.031505,0.031538,0.94952,0.9951399999999999,3.0
Row75,43959.0,964.5,15.29,0.039375,0.98335,1.0705,43217.0,47158.0,343.02,348.83,0.6631100000000001,4471900000.0,15344000.0,14.555,0.13965,43707.0,416.14,174900.0,348.83,-0.030371,0.026043,0.94789,0.99477,3.0
Row76,42715.0,995.98,15.037,0.040791,0.98206,1.0759999999999998,41911.0,46127.0,545.34,405.67,0.7291300000000001,4043400000.0,14417000.0,15.565999999999999,0.13374,42809.0,409.51,170290.0,405.67,-0.02877,0.026477999999999998,0.9446399999999999,0.9939600000000001,3.0
Row77,39729.0,620.9,7.7308,0.025361,0.98298,1.0776,38938.0,43428.0,894.28,567.28,0.75953,3260300000.0,12564000.0,18.17,0.12788,40406.0,395.23,160360.0,567.28,-0.024861,0.032057,0.9365,0.99161,3.0
